X,Y,fid,id,nMunicipio,icon_url,ENTIDAD,MUNICIPIO,NOMBRE,MunicipioId,tLISTA_NOMINAL,tTOTAL_VOTOS,tPAN,tPRI,tPRD,tPVEM,tPT,tMC,tMORENA,tPAN_PRI_PRD,tPAN_PRI,tPAN_PRD,tPRI_PRD,tPVEM_PT_MORENA,tPVEM_PT,tPVEM_MORENA,tPT_MORENA,cJuntos,cSigamos,GANADOR,porJuntos,porSigamos
-105.334535566734,27.5886698339838,60,,58,./1.png,8,58,SAN FRANCISCO DE CONCHOS,"58",2742,1846,273,510,11,19,18,237,628,26,14,1,0,26,2,13,5,835,711,cJuntos,45.2329360780065,38.5157096424702
-105.849983050641,26.8592869540254,61,,59,./0.png,8,59,SAN FRANCISCO DEL ORO,"59",4181,2827,333,260,21,526,212,502,732,19,5,0,1,28,7,11,17,639,1533,cSigamos,22.6034665723382,54.2270958613371
-105.818027147565,26.8020741697463,62,,60,./1.png,8,60,SANTA BARBARA,"60",8976,5858,539,1751,65,122,126,1269,1637,28,10,1,5,48,7,12,7,2399,1959,cJuntos,40.9525435302151,33.4414475930352
-106.107235207117,27.9559978306614,63,,61,./1.png,8,61,SATEVO,"61",4269,2602,1277,150,8,34,53,108,762,30,15,0,4,27,4,10,16,1484,906,cJuntos,57.033051498847,34.8193697156034
-105.288054026533,28.0326659974189,64,,62,./0.png,8,62,SAUCILLO,"62",25680,13774,4343,1245,167,343,305,934,5486,199,85,7,3,171,21,56,46,6049,6428,cSigamos,43.9160737621606,46.6676346740235
-107.82979363261,28.9527992646806,65,,63,./0.png,8,63,TEMOSACHIC,"63",5223,3032,310,337,165,79,53,70,1699,49,16,2,3,42,5,23,18,882,1919,cSigamos,29.089709762533,63.2915567282322
-106.266288874296,27.0535569952143,66,,64,./0.png,8,64,EL TULE,"64",2648,1970,785,34,4,9,7,38,998,22,6,1,0,8,2,4,1,852,1029,cSigamos,43.248730964467,52.2335025380711
-107.914024488715,27.2120480604147,67,,65,./0.png,8,65,URIQUE,"65",14047,8725,2604,430,114,135,168,120,4358,91,69,13,5,77,17,46,42,3326,4843,cSigamos,38.1203438395415,55.5071633237822
-108.215103320347,27.8678001885612,68,,66,./0.png,8,66,URUACHI,"66",5021,3317,132,1139,13,71,63,37,1523,26,10,0,3,37,6,14,20,1323,1734,cSigamos,39.885438649382,52.2761531504371
-105.810724856308,27.457190429277,69,,67,./0.png,8,67,VALLE DE ZARAGOZA,"67",4298,2429,265,420,97,61,153,583,585,29,15,1,3,14,14,4,12,830,843,cSigamos,34.1704405104981,34.7056401811445
